c_customer_id:integer,c_name:string,c_age:integer
1,John Wilson,28
2,Sara Smith,18
3,Eve Lee,20
4,Bob Taylor,23
5,John Brown,54
6,Alice Doe,54
7,Eve Taylor,30
8,John Doe,34
9,Tom Smith,51
10,Alex Brown,29
11,Jane Lee,35
12,Alice Doe,51
13,Tom Smith,45
14,Bob Smith,40
15,John Doe,24
16,Alice Taylor,61
17,Jane Smith,54
18,John Smith,33
19,Alex Taylor,52
20,Bob Wilson,39
21,John Doe,22
22,Alice Smith,30
23,Eve Doe,56
24,Alex Wilson,20
25,Jane Doe,31
26,Jane Doe,44
27,Bob Wilson,36
28,Sara Brown,57
29,John Wilson,23
30,John Lee,54
31,John Taylor,56
32,Jane Smith,45
33,Alex Brown,59
34,Alex Lee,51
35,Alice Taylor,49
36,Alex Lee,41
37,Sara Taylor,45
38,Tom Wilson,41
39,Eve Brown,60
40,Sara Smith,43
41,Alex Taylor,22
42,Bob Brown,56
43,Jane Taylor,37
44,Alex Wilson,32
45,Alex Brown,22
46,Bob Wilson,30
47,Bob Taylor,23
48,Bob Lee,28
49,Jane Smith,31
50,Eve Taylor,50
51,Sara Doe,26
52,Alex Doe,42
53,Alex Brown,47
54,Eve Wilson,64
55,Bob Taylor,47
56,Alex Smith,46
57,Alex Taylor,65
58,John Wilson,30
59,John Lee,40
60,Sara Taylor,66
61,Alice Brown,64
62,Eve Brown,38
63,Alex Brown,59
64,Jane Smith,50
65,Bob Taylor,60
66,Tom Wilson,27
67,John Lee,27
68,John Brown,27
69,Alice Taylor,32
70,John Brown,44
71,Jane Lee,33
72,John Lee,58
73,Alice Smith,67
74,John Taylor,48
75,Jane Taylor,56
76,Alice Taylor,29
77,Jane Wilson,40
78,Jane Wilson,26
79,John Taylor,61
80,John Lee,56
81,Bob Doe,29
82,Bob Brown,42
83,Alice Lee,35
84,John Lee,65
85,Jane Doe,50
86,John Smith,24
87,Jane Taylor,21
88,Alice Smith,35
89,Eve Doe,61
90,Alice Wilson,45
91,Tom Smith,58
92,Alex Doe,54
93,Sara Brown,59
94,Bob Smith,58
95,Tom Brown,51
96,Bob Doe,50
97,Alex Lee,31
98,Eve Wilson,56
99,Tom Doe,31
100,Bob Wilson,67
101,Bob Taylor,33
102,John Lee,22
103,John Brown,18
104,John Wilson,24
105,John Lee,41
106,Bob Smith,47
107,John Smith,48
108,Jane Lee,44
109,Alice Brown,35
110,Alice Wilson,66
111,Bob Taylor,54
112,Alex Smith,26
113,John Wilson,51
114,Jane Wilson,38
115,Bob Smith,41
116,Alex Taylor,59
117,Tom Brown,47
118,Alice Taylor,36
119,Alex Doe,53
120,Alex Doe,52
121,Tom Taylor,58
122,Sara Doe,22
123,Eve Taylor,33
124,Alice Taylor,23
125,Sara Smith,42
126,Bob Smith,55
127,Bob Doe,26
128,Alice Brown,64
129,Jane Taylor,63
130,Sara Taylor,37
131,John Brown,39
132,Jane Brown,46
133,Tom Wilson,25
134,Bob Smith,59
135,Bob Smith,67
136,Tom Doe,22
137,Jane Lee,44
138,Eve Wilson,52
139,Alex Wilson,54
140,Jane Doe,53
141,Jane Brown,31
142,Sara Taylor,19
143,Bob Doe,35
144,Jane Wilson,61
145,Sara Taylor,61
146,Tom Smith,25
147,Eve Doe,59
148,Tom Taylor,44
149,Jane Brown,32
150,John Smith,18
151,Jane Doe,43
152,Sara Wilson,34
153,Alice Lee,24
154,Alex Doe,38
155,Tom Taylor,52
156,Alex Smith,47
157,Sara Lee,25
158,Tom Smith,22
159,Bob Taylor,23
160,John Lee,24
161,Sara Doe,44
162,Sara Taylor,56
163,John Lee,26
164,John Doe,58
165,Jane Taylor,56
166,Tom Smith,57
167,Eve Taylor,43
168,Alex Taylor,37
169,Bob Wilson,56
170,Eve Brown,39
171,Bob Smith,66
172,Eve Taylor,44
173,Sara Lee,39
174,Jane Brown,62
175,Tom Smith,36
176,Tom Taylor,49
177,Alex Smith,57
178,Alex Taylor,44
179,John Smith,36
180,John Doe,60
181,Bob Doe,61
182,Tom Doe,24
183,Alice Wilson,58
184,John Doe,53
185,Jane Doe,52
186,Alex Brown,47
187,Alex Doe,63
188,Tom Doe,42
189,Eve Doe,37
190,Jane Brown,65
191,Alice Smith,38
192,Eve Wilson,57
193,John Brown,28
194,Eve Wilson,20
195,Bob Brown,49
196,Eve Wilson,26
197,Tom Lee,59
198,Jane Taylor,43
199,Alice Brown,25
200,Tom Taylor,57
201,Tom Lee,66
202,Sara Taylor,46
203,Bob Brown,64
204,Alex Doe,30
205,Tom Brown,61
206,Eve Taylor,63
207,Jane Wilson,27
208,Eve Taylor,20
209,Bob Taylor,22
210,Alex Doe,49
211,Alice Smith,23
212,John Smith,54
213,Alice Wilson,62
214,John Lee,63
215,John Smith,67
216,Jane Lee,43
217,Alice Wilson,48
218,John Doe,24
219,Eve Smith,58
220,Alex Brown,51
221,Bob Taylor,57
222,Jane Lee,23
223,Alex Brown,56
224,Alex Brown,44
225,Alice Brown,32
226,John Wilson,38
227,Tom Taylor,63
228,Sara Lee,58
229,Bob Brown,67
230,Alice Doe,37
231,Sara Wilson,31
232,John Lee,41
233,Sara Doe,25
234,Jane Brown,21
235,John Wilson,57
236,Bob Doe,49
237,Bob Wilson,40
238,Sara Lee,29
239,Alex Smith,32
240,Eve Doe,32
241,Tom Smith,62
242,Alex Lee,51
243,Tom Lee,48
244,Tom Smith,22
245,Jane Wilson,26
246,Alice Taylor,47
247,Jane Smith,66
248,Alex Wilson,49
249,Alice Lee,18
250,John Taylor,29
251,Sara Wilson,22
252,Sara Doe,47
253,Jane Brown,37
254,Alex Taylor,60
255,Eve Doe,27
256,Tom Lee,19
257,Bob Taylor,33
258,Alice Lee,27
259,Bob Doe,31
260,Sara Brown,44
261,Alice Smith,64
262,Tom Brown,22
263,Tom Wilson,58
264,Tom Doe,28
265,Sara Doe,43
266,John Smith,56
267,Sara Brown,23
268,Alice Wilson,63
269,Alex Wilson,47
270,Eve Smith,56
271,John Doe,60
272,John Wilson,23
273,Eve Wilson,57
274,Sara Wilson,38
275,John Taylor,40
276,Jane Taylor,18
277,Eve Lee,39
278,Tom Taylor,49
279,Tom Taylor,24
280,Alex Smith,52
281,Alex Taylor,37
282,Sara Lee,40
283,Eve Brown,60
284,Sara Taylor,42
285,Eve Wilson,44
286,Bob Lee,28
287,Eve Brown,51
288,Alex Taylor,35
289,Tom Lee,51
290,Tom Lee,22
291,Jane Taylor,24
292,Sara Smith,20
293,Tom Taylor,61
294,Bob Doe,37
295,John Brown,54
296,Eve Brown,62
297,Alice Wilson,62
298,Tom Lee,52
299,Sara Doe,67
300,Alex Wilson,63
301,Jane Brown,62
302,Jane Wilson,20
303,Tom Taylor,53
304,Jane Wilson,48
305,Bob Smith,61
306,Alex Wilson,60
307,Sara Doe,19
308,Alice Lee,39
309,Alex Smith,18
310,Tom Doe,48
311,John Doe,31
312,John Brown,23
313,John Doe,52
